University name , Link , Location, Number of Students 
Russian New University,https://rosnou.ru,Moscow,3999
Volgograd State Medical Academy,https://www.volgmed.ru,Volgograd,4999
Astrakhan State University,https://asu.edu.ru,Astrakhan,14999
Kemerovo State University,https://kemsu.ru,Kemerovo ...,24999
Moscow State University of Civil Engineering,https://mgsu.ru,Moscow,14999
Moscow State Linguistic University,https://linguanet.ru,Moscow,6999
Togliatti State University,https://www.tltsu.ru,Togliatti ...,19999
Pavlov First Saint Petersburg State Medical University,https://www.1spbgmu.ru,Saint Petersburg,3999
Novgorod State University,https://www.novsu.ru,Veliky Novgorod,8999
Omsk State Pedagogical University,http://omgpu.ru,Omsk ...,9999
Mendeleev University of Chemical Technology of Russia,https://www.muctr.ru,Moscow,5999
European University at St. Petersburg,https://eusp.org,Saint Petersburg,250
Udmurt State University,https://udsu.ru,Izhevsk ...,8999
Belgorod State Agricultural University,http://www.bsaa.edu.ru,Belgorod,5999
Gaidar Institute for Economic Policy,https://www.iep.ru,Moscow,250
Tula State University,https://tsu.tula.ru,Tula,24999
Yaroslavl State University,http://www.uniyar.ac.ru,Yaroslavl,5999
Volgograd State Socio-Pedagogical University,https://vspu.ru,Volgograd,7999
Volgograd State Technical University,https://www.vstu.ru,Volgograd,3999
M. Akmullah Bashkir State Pedagogical University,http://bspu.ru,Ufa,14999
Volgograd State University,https://volsu.ru,Volgograd ...,6999
Moscow State Regional University,http://mgou.ru,Moscow,7999
Pushkin State Russian Language Institute,http://www.pushkin.institute,Moscow,999
Voronezh State Technical University,https://cchgeu.ru,Voronezh ...,7999
Novosibirsk State University of Economics and Management,https://nsuem.ru,Novosibirsk,7999
Bashkir State Medical University,https://bashgmu.ru,Ufa, Not reported
Chelyabinsk State Pedagogical University,https://www.cspu.ru,Chelyabinsk,5999
Dostoevsky Omsk State University,https://omsu.ru,Omsk,7999
Saint Tikhon's Orthodox University,https://pstgu.ru,Moscow,3999
Siberian State Medical University,https://ssmu.ru,Tomsk,3999
Russian State Hydrometeorological University,http://www.rshu.ru,Saint Petersburg,5999
Vladimir State University for the Humanities,http://www.vlsu.ru,Vladimir,4999
Yaroslavl State Pedagogical University,http://yspu.org,Yaroslavl,5999
Altai State Pedagogical Academy,https://www.altspu.ru,Barnaul,4999
Ulyanovsk State Technical University,https://ulstu.ru,Ulyanovsk,7999
The State University of Management,https://guu.ru,Moscow,14999
Ufa State Petroleum Technological University,https://rusoil.net,Ufa ...,24999
Ulyanovsk State University,https://www.ulsu.ru,Ulyanovsk,14999
Vyatka State University,https://www.vyatsu.ru,Kirov,6999
National Research University of Electronic Technology,https://miet.ru,Moscow,6999
Irkutsk National Research Technical University,http://www.istu.edu,Irkutsk ...,5999
New Economic School,https://www.nes.ru,Moscow,499
Kazan State Medical University,https://kazangmu.ru,Kazan ...,4999
Saratov State Medical University,http://www.sgmu.ru,Saratov,4999
Ivanovo State Power University,http://ispu.ru,Ivanovo,4999
Kalashnikov Izhevsk State Technical University,https://istu.ru,Izhevsk ...,14999
Chita State Academy of Medicine,https://chitgma.ru,Chita,2999
Polzunov Altai State Technical University,https://www.altstu.ru,Barnaul ...,19999
Siberian State Aerospace University,https://www.sibsau.ru,Krasnoyarsk ...,14999
Saratov State Technical University,https://www.sstu.ru,Saratov,8999
St. Petersburg State Marine Technical University,https://www.smtu.ru,Saint Petersburg,5999
St. Petersburg State University of Architecture and Civil Engineering,https://www.spbgasu.ru,Saint Petersburg,8999
Chuvash State University,https://www.chuvsu.ru,Cheboksary,14999
Magnitogorsk State Technical University,https://www.magtu.ru,Magnitogorsk,8999
Kazan State Technological University,http://www.kstu.ru,Kazan,29999
Ural State Law Academy,http://www.usla.ru,Yekaterinburg, Not reported
Orel State University,http://oreluniver.ru,Orel,14999
St. Petersburg State University of Industrial Technologies and Design,https://sutd.ru,Saint Petersburg,5999
Amur State University,https://www.amursu.ru,Blagoveshchensk,5999
Banzarov Buryat State University,https://www.bsu.ru,Ulan-Ude,14999
St. Petersburg State University of Aerospace Instrumentation,https://guap.ru,Saint Petersburg,7999
Mari State University,https://marsu.ru,Yoshkar-Ola,5999
Ural State University of Railway Transport,http://www.usurt.ru,Yekaterinburg,19999
Baltic State Technical University "Voenmeh",https://www.voenmeh.ru,Saint Petersburg,6999
Tambov State University,http://www.tsutmb.ru,Tambov,14999
Belgorod State Technological University,https://www.bstu.ru,Belgorod,6999
Moscow University for the Humanities,https://www.mosgu.ru,Moscow,4999
Sergei Witte University of Moscow,https://www.muiv.ru,Moscow ...,24999
Kuban State University of Technology,https://kubstu.ru,Krasnodar,14999
Voronezh State Pedagogical University,http://www.vspu.ac.ru,Voronezh,8999
Ivanovo State University of Chemistry and Technology,https://www.isuct.ru,Ivanovo,3999
Admiral Makarov State University of Maritime and Inland Shipping,https://gumrf.ru,Saint Petersburg ...,4999
Kuban State Agricultural University,https://kubsau.ru,Krasnodar,19999
Ivanovo State Medical Academy,https://www.isma.ivanovo.ru,Ivanovo, Not reported
St. Petersburg State Conservatory,https://www.conservatory.ru,Saint Petersburg,1999
Nizhny Novgorod State Pedagogical University,https://mininuniver.ru,Nizhny Novgorod,1999
Russian State University A.N. Kosygin,https://kosygin-rgu.ru,Moscow ...,3999
Petrozavodsk State Conservatory,http://glazunovcons.ru,Petrozavodsk,499
Moscow Technical University of Communications and Informatics,https://mtuci.ru,Moscow,4999
Kaliningrad State Technical University,https://klgtu.ru,Kaliningrad,4999
Murmansk State Technical University,http://www.mstu.edu.ru,Murmansk,5999
South-Western State University,https://swsu.ru,Kursk,14999
Moscow State University of Geodesy and Cartography,http://www.miigaik.ru,Moscow,3999
Moscow Automobile and Road Construction State Technical University,http://www.madi.ru,Moscow,6999
Ryazan State Medical University,http://www.rzgmu.ru,Ryazan,1999
Ivanovo State University,http://ivanovo.ac.ru,Ivanovo,4999
Tula State Pedagogical University,https://tsput.ru,Tula,4999
Dubna State University,https://uni-dubna.ru,Dubna,5999
Pskov State Pedagogical University,https://pskgu.ru,Pskov,2999
Omsk State Technical University,https://www.omgtu.ru,Omsk,19999
Nizhny Novgorod State University of Architecture and Civil Engineering,https://www.nngasu.ru,Nizhny Novgorod,6999
Maritime State University,https://msun.ru,Vladivostok,4999
Ryazan State University,https://www.rsu.edu.ru,Ryazan,14999
Kursk State Medical University,https://kurskmed.com,Kursk,1999
Voronezh State Medical University,http://vrngmu.ru,Voronezh,6999
Saint-Petersburg State Institute of Film and Television,https://www.gukit.ru,Saint Petersburg,3999
Kazan State Power Engineering University,https://kgeu.ru,Kazan,9999
Linguistic University of Nizhny Novgorod,https://lunn.ru,Nizhny Novgorod,2999
Siberian State University of Telecommunications and Informatics,https://sibsutis.ru,Novosibirsk,4999
Moscow State University of Food Production,https://mgupp.ru,Moscow,4999
Dagestan State University,http://www.dgu.ru,Makhachkala,9999
Komsomolsk-on-Amur State Technical University,https://knastu.ru,Komsomolsk-on-Amur,4999
Leningrad State University,https://lengu.ru,Saint Petersburg,3999
Kursk State University,https://www.kursksu.ru,Kursk,14999
Gorno-Altaisk State University,http://www.gasu.ru,Gorno-Altaisk,3999
Kuzbass State Technical University,https://kuzstu.ru,Kemerovo,9999
Irkutsk State Medical University,https://www.ismu.baikal.ru,Irkutsk,3999
Moscow State Technical University of Civil Aviation,http://www.mstuca.ru,Moscow,2999
Kaluga State University,https://tksu.ru,Kaluga,4999
Modern University for the Humanities,https://muh.ru,Moscow ...,45000
Samara State Medical University,https://samsmu.ru,Samara,4999
Perm State Pedagogical University,https://pspu.ru,Perm,3999
Krasnoyarsk State Medical University,https://krasgmu.ru,Krasnoyarsk,3999
Surgut State University,http://www.surgu.ru,Surgut,4999
Tver State Technical University,http://www.tstu.tver.ru,Tver,7999
St. Petersburg State University for Culture and Arts,https://www.spbgik.ru,Saint Petersburg,7999
Kuban State Medical University,http://www.ksma.ru,Krasnodar,3999
Saint Petersburg State Pediatric Medical Academy,https://gpmu.org,Saint Petersburg,3999
Krasnoyarsk State Pedagogical University,http://www.kspu.ru,Krasnoyarsk,6999
